,,,Q01,,Q02,,,Q03,,
,,,[1]=,[2]=,[1]=,[2]=,[3]=,[1]=,[2]=,[3]=
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
___,___,___,,,,,,,,,0
