1;;12022062980240;;Q01---;;[1]=  ;;[2]=  

31;;312022063033116;;Q01---;;[1]=  11-2i;;[2]=  -4
4;;42022063033133;;Q01---;;[1]=  11-2i;;[2]=  -4
25;;252022063033170;;Q01---;;[1]=  11-2i;;[2]=  -4
12;;122022063033258;;Q01---;;[1]=  11-2i;;[2]=  -4
14;;142022063032871;;Q01---;;[1]=  1-2i+8;;[2]=  -4
36;;362022063033210;;Q01---;;[1]=  11-2i;;[2]=  -4
39;;392022063033220;;Q01---;;[1]=  1-2i;;[2]=  -4
8;;82022063033236;;Q01---;;[1]=  4-2i-8i^(2);;[2]=  sq(16)
32;;322022063033259;;Q01---;;[1]=  11-2i;;[2]=  (pm)4
19;;192022063033277;;Q01---;;[1]=  11+2i;;[2]=  -4
38;;382022063033193;;Q01---;;[1]=  11-2i;;[2]=  -4
24;;242022063033037;;Q01---;;[1]=  11-2i;;[2]=  -4
15;;152022063033317;;Q01---;;[1]=  11-2i;;[2]=  -4
28;;282022063033329;;Q01---;;[1]=  11-2i;;[2]=  -4
27;;272022063033172;;Q01---;;[1]=  11-2i;;[2]=  -4
3;;32022063033260;;Q01---;;[1]=  11-2i;;[2]=  -4
17;;172022063033341;;Q01---;;[1]=  11-2i;;[2]=  -4
29;;292022063033348;;Q01---;;[1]=  11-2i;;[2]=  -4
21;;212022063033207;;Q01---;;[1]=  11-2i;;[2]=  -4
1;;12022063033414;;Q01---;;[1]=  11-2i;;[2]=  -4
41;;412022063033421;;Q01---;;[1]=  11-2i;;[2]=  -4
42;;422022063033417;;Q01---;;[1]=  11-2i;;[2]=  -4
13;;132022063033295;;Q01---;;[1]=  11-2i;;[2]=  -4
40;;402022063033453;;Q01---;;[1]=  11-2i;;[2]=  4i
2;;22022063033217;;Q01---;;[1]=  11-2i;;[2]=  -4
37;;372022063033285;;Q01---;;[1]=  11-2i;;[2]=  -4
18;;182022063033493;;Q01---;;[1]=  11-2i;;[2]=  -4
30;;302022063033503;;Q01---;;[1]=  11-2i;;[2]=  -4
22;;222022063033236;;Q01---;;[1]=  11-2i;;[2]=  -4
6;;62022063033480;;Q01---;;[1]=  11-2i;;[2]=  -4
9;;92022063033312;;Q01---;;[1]=  11-2i;;[2]=  -4
34;;342022063033333;;Q01---;;[1]=  11+2i;;[2]=  -4
35;;352022063033331;;Q01---;;[1]=  11-2i;;[2]=  -4
16;;162022063033590;;Q01---;;[1]=  11-2{\vec{i}\;};;[2]=  -4
7;;72022063033536;;Q01---;;[1]=  11-2i;;[2]=  -4
20;;202022063033558;;Q01---;;[1]=  11-2i;;[2]=  -4
10;;102022063033690;;Q01---;;[1]=  11-2i;;[2]=  -4
11;;112022063033707;;Q01---;;[1]=  11-2i;;[2]=  -4
23;;232022063033626;;Q01---;;[1]=  3-2i-8i^2;;[2]=  
5;;52022063036204;;Q01---;;[1]=  11-2i;;[2]=  -4
26;;262022063036831;;Q01---;;[1]=  11-2i;;[2]=  
